"store_id","total_products","weighted_avg_dos","total_value","priority_segment"
77,4082,1153.51,1989294.39,A_Critical
26,2329,716.29,1107011.98,A_Critical
49,2018,721.93,1105203.58,A_Critical
64,2975,1802.38,950831.18,A_Critical
40,2235,775.41,938253.04,A_Critical
33,1335,642.93,574890.44,A_Critical
41,1148,592.39,567962.50,A_Critical
51,1638,583.54,487036.33,A_Critical
3,1848,617.96,469275.48,A_Critical
43,1704,570.21,463424.44,A_Critical
25,3443,511.78,1308773.84,C_HighVolume
50,2526,509.07,875723.44,C_HighVolume
45,1519,554.58,830545.09,C_HighVolume
27,1732,489.49,829576.81,C_HighVolume
47,2474,427.31,772732.95,C_HighVolume
36,2168,463.84,727987.84,C_HighVolume
63,2437,523.74,718573.63,C_HighVolume
14,1782,405.26,551235.21,C_HighVolume
68,1810,544.57,528078.58,C_HighVolume
58,1540,432.94,466522.11,C_HighVolume
20,1847,636.95,455898.50,B_SlowMoving
16,1079,578.24,253431.38,B_SlowMoving
17,1375,612.91,223847.06,B_SlowMoving
70,855,635.88,207161.78,B_SlowMoving
37,1113,847.99,205058.31,B_SlowMoving
80,1024,572.54,201198.32,B_SlowMoving
32,1048,671.47,185157.64,B_SlowMoving
2,1293,578.73,173319.48,B_SlowMoving
30,914,630.83,152837.59,B_SlowMoving
57,590,578.03,103894.54,B_SlowMoving
15,1308,403.91,439059.52,D_Normal
34,1748,512.15,404697.49,D_Normal
48,1212,350.35,401165.82,D_Normal
60,1630,548.51,367619.44,D_Normal
67,1060,543.44,364331.53,D_Normal
13,1434,426.74,329855.60,D_Normal
29,1309,464.06,328284.32,D_Normal
71,1509,473.55,321959.35,D_Normal
5,1137,427.51,270896.49,D_Normal
9,1042,408.93,264919.05,D_Normal
62,1098,404.92,262895.56,D_Normal
23,977,419.13,262321.91,D_Normal
24,1077,433.63,254278.88,D_Normal
73,1206,459.14,251269.26,D_Normal
35,1311,505.06,245720.01,D_Normal
65,946,373.15,232745.43,D_Normal
42,779,408.94,221254.52,D_Normal
1,932,378.46,213556.43,D_Normal
8,1285,476.78,211557.14,D_Normal
52,1015,471.65,204387.89,D_Normal
28,1070,323.41,186783.71,D_Normal
22,989,477.01,180169.63,D_Normal
6,923,519.80,170561.05,D_Normal
69,714,393.46,170296.20,D_Normal
72,738,361.22,169803.73,D_Normal
38,972,496.45,169205.19,D_Normal
66,697,294.06,159845.05,D_Normal
18,725,415.54,159010.41,D_Normal
78,719,389.25,155669.26,D_Normal
76,676,308.44,152002.68,D_Normal
46,978,453.52,147898.08,D_Normal
59,745,339.48,147088.81,D_Normal
54,872,332.63,145230.73,D_Normal
10,626,313.16,143417.98,D_Normal
75,909,407.67,135185.25,D_Normal
11,686,325.72,128137.08,D_Normal
39,486,360.59,126499.25,D_Normal
7,903,535.15,117772.52,D_Normal
74,824,504.83,117374.40,D_Normal
19,693,371.18,112142.95,D_Normal
44,546,407.59,100832.14,D_Normal
61,708,301.94,98511.39,D_Normal
21,544,292.32,97445.69,D_Normal
55,813,429.17,97204.17,D_Normal
79,520,411.68,91734.90,D_Normal
56,580,326.08,77244.87,D_Normal
31,594,403.10,69774.88,D_Normal
53,540,250.90,67021.96,D_Normal
12,303,281.22,62820.82,D_Normal
