"vendor_id","vendor_name","total_products","variance","variance_rate","rank_no","delivery_profile"
27,alisa carr beverages,13,198,65.35,1,over delivery
74,r.p.imports inc,37,114,43.02,2,over delivery
25,circa wines,42,38,21.84,3,over delivery
41,william grant & sons inc,78,-35924,-14.44,1,under delivery
113,the imported grape llc,20,-96,-13.60,2,under delivery
106,sea breeze cellars llc,15,-522,-9.66,3,under delivery
